x,y,vx,vy,timestamp
607,172,200,200,26.887
610,175,200,200,26.914
613,178,200,200,26.94
613,181,0,200,26.968
610,184,-200,200,26.995
607,187,-200,200,27.021
604,190,-200,200,27.048
601,190,-200,0,27.075
598,190,-200,0,27.102
595,190,-200,0,27.128
592,190,-200,0,27.156
589,190,-200,0,27.182
586,190,-200,0,27.209
583,190,-200,0,27.236
580,190,-200,0,27.262
577,190,-200,0,27.29
574,190,-200,0,27.317
571,190,-200,0,27.343
568,190,-200,0,27.37
565,190,-200,0,27.397
562,190,-200,0,27.424
559,190,-200,0,27.451
556,190,-200,0,27.478
553,187,-200,-200,27.505
550,184,-200,-200,27.532
547,181,-200,-200,27.559
544,178,-200,-200,27.586
541,175,-200,-200,27.612
538,172,-200,-200,27.639
535,169,-200,-200,27.666
532,166,-200,-200,27.693
529,163,-200,-200,27.719
526,160,-200,-200,27.746
523,157,-200,-200,27.774
520,154,-200,-200,27.804
517,151,-200,-200,27.832
514,148,-200,-200,27.86
511,145,-200,-200,27.886
508,142,-200,-200,27.913
505,142,-200,0,27.94
505,142,0,0,27.967
505,142,0,0,27.995
505,142,0,0,28.021
505,142,0,0,28.048
505,142,0,0,28.075
505,142,0,0,28.101
508,142,200,0,28.129
511,142,200,0,28.155
514,142,200,0,28.182
517,142,200,0,28.21
520,142,200,0,28.237
523,142,200,0,28.263
526,142,200,0,28.29
529,142,200,0,28.317
532,142,200,0,28.344
535,142,200,0,28.371
538,142,200,0,28.398
541,142,200,0,28.425
544,142,200,0,28.452
547,145,200,200,28.479
550,148,200,200,28.506
553,151,200,200,28.533
556,154,200,200,28.559
559,157,200,200,28.586
562,160,200,200,28.613
565,163,200,200,28.639
568,166,200,200,28.666
571,169,200,200,28.693
574,172,200,200,28.719
577,175,200,200,28.746
580,178,200,200,28.774
583,181,200,200,28.8
580,184,-200,200,28.827
577,187,-200,200,28.854
574,190,-200,200,28.881
571,193,-200,200,28.908
568,196,-200,200,28.935
565,196,-200,0,28.962
562,196,-200,0,28.989
559,196,-200,0,29.014
556,196,-200,0,29.041
553,199,-200,200,29.069
550,202,-200,200,29.096
547,205,-200,200,29.122
544,208,-200,200,29.149
541,208,-200,0,29.176
538,208,-200,0,29.202
535,208,-200,0,29.229
532,208,-200,0,29.256
529,208,-200,0,29.283
526,208,-200,0,29.31
523,205,-200,-200,29.336
520,202,-200,-200,29.363
517,199,-200,-200,29.39
514,196,-200,-200,29.418
511,193,-200,-200,29.445
508,190,-200,-200,29.472
505,187,-200,-200,29.5
502,184,-200,-200,29.527
499,181,-200,-200,29.553
496,178,-200,-200,29.58
493,175,-200,-200,29.607
490,172,-200,-200,29.634
487,169,-200,-200,29.661
484,166,-200,-200,29.688
481,163,-200,-200,29.714
478,160,-200,-200,29.742
475,157,-200,-200,29.77
472,154,-200,-200,29.797
469,151,-200,-200,29.825
466,148,-200,-200,29.855
463,145,-200,-200,29.883
460,142,-200,-200,29.911
457,139,-200,-200,29.938
454,136,-200,-200,29.964
451,136,-200,0,29.992
448,136,-200,0,30.018
445,136,-200,0,30.045
442,136,-200,0,30.071
439,136,-200,0,30.098
436,136,-200,0,30.125
433,136,-200,0,30.151
430,136,-200,0,30.178
427,136,-200,0,30.204
424,136,-200,0,30.231
421,136,-200,0,30.258
418,136,-200,0,30.285
415,136,-200,0,30.312
412,136,-200,0,30.338
409,136,-200,0,30.365
406,136,-200,0,30.392
403,136,-200,0,30.419
400,136,-200,0,30.445
397,136,-200,0,30.473
394,136,-200,0,30.501
391,136,-200,0,30.528
388,136,-200,0,30.554
385,136,-200,0,30.581
382,136,-200,0,30.608
379,136,-200,0,30.635
376,136,-200,0,30.662
373,136,-200,0,30.689
370,136,-200,0,30.716
367,136,-200,0,30.742
364,136,-200,0,30.77
361,136,-200,0,30.798
358,136,-200,0,30.826
355,136,-200,0,30.856
352,136,-200,0,30.898
349,136,-200,0,30.925
346,136,-200,0,30.953
343,136,-200,0,30.981
340,136,-200,0,31.008
337,136,-200,0,31.035
334,136,-200,0,31.063
331,136,-200,0,31.091
328,136,-200,0,31.118
325,139,-200,200,31.145
322,142,-200,200,31.172
319,145,-200,200,31.2
316,148,-200,200,31.229
313,151,-200,200,31.257
313,154,0,200,31.285
313,157,0,200,31.312
313,160,0,200,31.339
313,163,0,200,31.368
310,166,-200,200,31.396
307,169,-200,200,31.424
304,172,-200,200,31.451
301,175,-200,200,31.478
298,178,-200,200,31.506
295,181,-200,200,31.534
292,184,-200,200,31.562
289,187,-200,200,31.589
286,190,-200,200,31.616
283,193,-200,200,31.644
280,196,-200,200,31.671
280,196,0,0,31.699
283,196,200,0,31.726
286,196,200,0,31.754
289,196,200,0,31.781
292,196,200,0,31.809
295,196,200,0,31.838
298,193,200,-200,31.868
301,190,200,-200,31.898
304,187,200,-200,31.927
307,184,200,-200,31.956
310,181,200,-200,31.984
313,178,200,-200,32.011
316,175,200,-200,32.041
319,172,200,-200,32.07
322,169,200,-200,32.099
325,166,200,-200,32.128
328,163,200,-200,32.157
331,160,200,-200,32.186
334,157,200,-200,32.214
337,154,200,-200,32.241
340,151,200,-200,32.268
343,148,200,-200,32.294
346,145,200,-200,32.322
349,142,200,-200,32.35
352,139,200,-200,32.377
355,136,200,-200,32.404
358,133,200,-200,32.431
361,130,200,-200,32.458
364,130,200,0,32.485
367,130,200,0,32.512
370,130,200,0,32.539
373,130,200,0,32.566
376,130,200,0,32.593
379,130,200,0,32.62
382,130,200,0,32.646
385,130,200,0,32.673
388,130,200,0,32.7
391,130,200,0,32.728
394,130,200,0,32.759
397,133,200,200,32.788
400,136,200,200,32.819
403,139,200,200,32.847
406,142,200,200,32.875
409,145,200,200,32.902
412,148,200,200,32.928
415,151,200,200,32.955
418,154,200,200,32.982
421,157,200,200,33.008
424,160,200,200,33.035
427,163,200,200,33.062
430,166,200,200,33.089
430,169,0,200,33.116
430,172,0,200,33.143
427,175,-200,200,33.17
424,178,-200,200,33.197
421,181,-200,200,33.226
418,184,-200,200,33.252
415,187,-200,200,33.279
412,190,-200,200,33.306
409,193,-200,200,33.333
406,196,-200,200,33.36
403,199,-200,200,33.387
400,202,-200,200,33.415
397,205,-200,200,33.443
394,208,-200,200,33.469
391,208,-200,0,33.497
388,208,-200,0,33.523
385,208,-200,0,33.55
382,208,-200,0,33.577
379,208,-200,0,33.604
376,208,-200,0,33.631
373,208,-200,0,33.659
370,205,-200,-200,33.686
367,202,-200,-200,33.713
364,199,-200,-200,33.74
361,196,-200,-200,33.767
364,193,200,-200,33.794
367,190,200,-200,33.821
370,187,200,-200,33.848
373,187,200,0,33.876
376,187,200,0,33.904
379,187,200,0,33.934
382,187,200,0,33.963
385,184,200,-200,33.991
388,181,200,-200,34.017
391,178,200,-200,34.043
394,175,200,-200,34.07
397,172,200,-200,34.097
400,169,200,-200,34.123
403,166,200,-200,34.15
406,163,200,-200,34.177
409,160,200,-200,34.204
412,157,200,-200,34.232
412,154,0,-200,34.258
412,151,0,-200,34.285
409,148,-200,-200,34.313
406,148,-200,0,34.34
403,148,-200,0,34.366
400,148,-200,0,34.393
397,148,-200,0,34.42
394,148,-200,0,34.447
391,148,-200,0,34.475
388,148,-200,0,34.502
385,148,-200,0,34.529
382,148,-200,0,34.556
379,148,-200,0,34.582
376,148,-200,0,34.609
373,148,-200,0,34.636
370,148,-200,0,34.663
367,148,-200,0,34.69
364,148,-200,0,34.717
361,148,-200,0,34.744
358,148,-200,0,34.772
355,148,-200,0,34.799
355,148,0,0,34.826
355,148,0,0,34.853
358,148,200,0,34.88
361,148,200,0,34.908
364,148,200,0,34.934
367,148,200,0,34.961
367,148,0,0,34.989
367,148,0,0,35.015
364,148,-200,0,35.042
361,148,-200,0,35.069
358,148,-200,0,35.096
355,148,-200,0,35.122
352,148,-200,0,35.149
349,148,-200,0,35.176
346,148,-200,0,35.203
343,148,-200,0,35.23
340,148,-200,0,35.257
337,148,-200,0,35.283
334,148,-200,0,35.311
331,148,-200,0,35.337
328,148,-200,0,35.364
325,151,-200,200,35.391
322,154,-200,200,35.419
319,157,-200,200,35.445
316,160,-200,200,35.472
313,163,-200,200,35.499
310,166,-200,200,35.527
307,169,-200,200,35.555
304,172,-200,200,35.581
301,175,-200,200,35.608
298,178,-200,200,35.635
295,181,-200,200,35.662
292,184,-200,200,35.689
289,187,-200,200,35.715
286,190,-200,200,35.742
283,193,-200,200,35.77
280,196,-200,200,35.796
277,199,-200,200,35.823
274,202,-200,200,35.85
271,205,-200,200,35.877
268,208,-200,200,35.904
265,211,-200,200,35.931
262,214,-200,200,35.959
262,217,0,200,35.988
262,220,0,200,36.016
265,223,200,200,36.044
100,100,0,0,0.626
100,100,0,0,0.693
100,100,0,0,0.72
100,100,0,0,0.752
100,100,0,0,0.781
100,100,0,0,0.808
100,100,0,0,0.835
100,100,0,0,0.861
100,100,0,0,0.887
100,100,0,0,0.912
100,100,0,0,0.938
100,100,0,0,0.965
100,100,0,0,0.991
100,100,0,0,1.016
100,100,0,0,1.042
100,100,0,0,1.068
100,100,0,0,1.095
100,100,0,0,1.121
100,100,0,0,1.147
100,100,0,0,1.173
100,100,0,0,1.202
100,100,0,0,1.23
100,100,0,0,1.259
100,100,0,0,1.288
100,100,0,0,1.317
100,100,0,0,1.346
100,100,0,0,1.374
100,100,0,0,1.401
100,100,0,0,1.428
100,100,0,0,1.454
100,100,0,0,1.48
100,100,0,0,1.506
100,100,0,0,1.532
100,100,0,0,1.561
100,100,0,0,1.588
100,100,0,0,1.616
100,100,0,0,1.642
100,100,0,0,1.669
100,100,0,0,1.695
100,100,0,0,1.721
100,100,0,0,1.747
100,100,0,0,1.773
100,100,0,0,1.8
100,100,0,0,1.826
103,100,200,0,1.853
106,100,200,0,1.879
109,100,200,0,1.904
112,100,200,0,1.931
115,100,200,0,1.958
118,100,200,0,1.984
121,100,200,0,2.008
124,100,200,0,2.034
127,97,200,-200,2.063
130,94,200,-200,2.092
127,91,-200,-200,2.12
124,88,-200,-200,2.147
121,85,-200,-200,2.173
118,85,-200,0,2.199
115,85,-200,0,2.225
115,85,0,0,2.251
115,85,0,0,2.277
115,88,0,200,2.304
115,91,0,200,2.33
115,94,0,200,2.356
118,97,200,200,2.382
118,100,0,200,2.408
118,103,0,200,2.435
118,106,0,200,2.462
118,109,0,200,2.488
118,112,0,200,2.513
118,115,0,200,2.539
118,118,0,200,2.566
118,121,0,200,2.592
118,124,0,200,2.62
118,127,0,200,2.646
118,130,0,200,2.673
118,133,0,200,2.7
118,136,0,200,2.726
115,139,-200,200,2.752
112,142,-200,200,2.778
109,145,-200,200,2.804
106,148,-200,200,2.83
103,151,-200,200,2.856
100,154,-200,200,2.882
97,157,-200,200,2.907
94,160,-200,200,2.933
94,163,0,200,2.959
94,166,0,200,2.985
97,169,200,200,3.01
100,172,200,200,3.038
103,175,200,200,3.063
106,178,200,200,3.089
109,181,200,200,3.116
112,184,200,200,3.142
115,187,200,200,3.168
118,190,200,200,3.194
121,193,200,200,3.22
124,196,200,200,3.246
127,199,200,200,3.272
130,202,200,200,3.297
133,205,200,200,3.324
136,208,200,200,3.35
139,208,200,0,3.376
142,208,200,0,3.402
145,208,200,0,3.428
148,208,200,0,3.454
151,208,200,0,3.481
154,208,200,0,3.507
157,208,200,0,3.532
160,205,200,-200,3.559
163,202,200,-200,3.586
166,199,200,-200,3.612
169,196,200,-200,3.638
172,193,200,-200,3.665
175,190,200,-200,3.693
178,187,200,-200,3.719
181,184,200,-200,3.744
184,181,200,-200,3.771
187,178,200,-200,3.796
190,175,200,-200,3.823
193,172,200,-200,3.849
196,169,200,-200,3.875
199,166,200,-200,3.9
202,163,200,-200,3.927
205,160,200,-200,3.953
208,157,200,-200,3.979
211,154,200,-200,4.004
214,151,200,-200,4.03
217,148,200,-200,4.057
220,145,200,-200,4.083
223,142,200,-200,4.11
226,139,200,-200,4.138
229,136,200,-200,4.165
232,133,200,-200,4.192
235,130,200,-200,4.218
238,127,200,-200,4.244
241,124,200,-200,4.27
244,124,200,0,4.296
247,124,200,0,4.324
250,124,200,0,4.353
253,124,200,0,4.38
